                                                     SIMULATION OF MEDIATION                   10:48 Thursday, January 4, 2007   7

                                                       The MEANS Procedure

                          Variable     N            Mean         Std Dev         Minimum         Maximum
                          TRUESAB     10       0.7644606               0       0.7644606       0.7644606
                          VX1X1       10       1.0000000               0       1.0000000       1.0000000
                          VX2X2       10       1.0000000               0       1.0000000       1.0000000
                          VX3X3       10       1.0000000               0       1.0000000       1.0000000
                          CY2X1       10       0.0504000               0       0.0504000       0.0504000
                          CY1Y1       10       1.0196000               0       1.0196000       1.0196000
                          CY2Y1       10       0.3670560               0       0.3670560       0.3670560
                          CY2Y2       10       1.1321402               0       1.1321402       1.1321402
                          RY1X1       10       0.1386478               0       0.1386478       0.1386478
                          RY2X1       10       0.0473675               0       0.0473675       0.0473675
                          RY2Y1       10       0.3416389               0       0.3416389       0.3416389
                          TRUEA       10       0.5000000               0       0.5000000       0.5000000
                          TRUEB       10       1.0000000               0       1.0000000       1.0000000
                          TRUERAT      0               .               .               .               .
                          TRUEPROP    10       1.0000000               0       1.0000000       1.0000000
                          HJSEA       10       0.6324569       0.4613417       0.1878026       1.6987011
                          HJSEB       10       2.5139888       2.4183232       0.5287832       8.3784853
                          HJSEC       10       1.8796324       1.6369210       0.6162890       5.8083386
                          HJSEAn      10       0.5163989       0.3766839       0.1533401       1.3869836
                          HJSEcn      10       1.4514521       1.3962196       0.3052931       4.8373208
                          HJSEbn      10       1.0852063       0.9450768       0.3558146       3.3534458
                          DIFFB       10       1.4695660       4.5328141      -4.2291567      12.7100359
                          COVB1B2     10       0.4071860       0.5906932       0.0163330       1.7811336
                          RCOVB1B2    10       0.3659938       0.4649338       0.0271954       1.4374739
                          R           10       0.4905283       0.4136953       0.0108082       1.2719737
                          ƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒ
                                                     SIMULATION OF MEDIATION                   10:48 Thursday, January 4, 2007   8

                                                       The MEANS Procedure

                          Variable     N            Mean         Std Dev         Minimum         Maximum
                          ƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒ
                          RR          10       0.4287942       0.3134866       0.0193023       1.0265535
                          KIM          9       1.4731266       1.4852024       0.1604890       4.8311740
                          RKIM        10       1.3813008       1.4269474       0.2416525       4.8024938
                          FREED       10       1.2754246       1.4540816       0.0856311       4.7528192
                          CLOGG       10       0.8608463       0.9951899       0.0160858       3.2947595
                          KIMZ         9       0.4856982       1.8689158      -2.5376335       4.5475373
                          RKIMZ       10       0.4480684       1.7761045      -2.6432048       4.5583942
                          PKIMZ        9       0.4084757       0.3140103    2.7138655E-6       0.9944198
                          PRKIMZ      10       0.4096782       0.2875250    2.5773115E-6       0.9958937
                          FREEDZ      10       0.3707949       1.9851994      -3.2147715       4.6497982
                          PFREEDZ     10       0.4249682       0.3283763    1.6612995E-6       0.9993473
                          CLOGGZ      10       0.5489565       4.9972263      -8.7468506      11.6613794
                          PCLOGGZ     10       0.4470102       0.3809317               0       1.0000000
                          AB          10       1.4695660       4.5328141      -4.2291567      12.7100359
                          SOBEL       10       1.3813008       1.4269474       0.2416525       4.8024938
                          DERIVE      10       1.5121262       1.3735692       0.3184734       4.8445706
                          GDERIV       9       1.4231453       1.4834219       0.1239621       4.7600450
                          ZSOBEL      10       0.4480684       1.7761045      -2.6432048       4.5583942
                          PSOBEL      10       0.4096782       0.2875250    2.5773115E-6       0.9958937
                          ZDERIVE     10       0.4374994       1.7617753      -2.6011901       4.5501632
                          PDERIVE     10       0.4143363       0.2828148    2.6802167E-6       0.9953550
                          PROP        10     -13.0910178      50.0088909    -154.1564763      21.2243431
                          SEPROPFI    10     530.2739305         1659.82       0.4644809         5254.15
                          RATIO       10      -0.1517427       1.0427167      -1.8621862       1.4083898
                          SERATFI     10       7.8691017      19.5112131       0.0698992      62.6478532
                          BAB         10       1.4191660       4.5328141      -4.2795567      12.6596359
                          B2AB        10      20.5057953      49.9897447     0.000022729     160.2663822
                          RBAB        10      28.1580548      89.9367876     -84.9118389     251.1832528
                          BPROP       10     -14.0910178      50.0088909    -155.1564763      20.2243431
                          B2PROP      10         2449.36         7599.04       0.1724036        24073.53
                          RBPROP      10     -14.0910178      50.0088909    -155.1564763      20.2243431
                          BRATIO       0               .               .               .               .
                          B2RATIO      0               .               .               .               .
                          RBRATIO      0               .               .               .               .
                          BSOBEL      10       0.6168402       1.4269474      -0.5228081       4.0380332
                          MSSOBEL     10       2.0522732       4.6867161      -0.1096049      14.8249007
                          RBSOBEL     10       0.8068960       1.8666069      -0.6838915       5.2821992
                          BKIM         9       0.7086660       1.4852024      -0.6039716       4.0667134
                          MSKIM        9       2.2969663       4.9798416      -0.1097594      15.0193574
                          RBKIM       10       0.8068960       1.8666069      -0.6838915       5.2821992
                          BRKIM       10       0.6168402       1.4269474      -0.5228081       4.0380332
                          MSRKIM      10       2.0522732       4.6867161      -0.1096049      14.8249007
                          BDERIVE     10       0.7476656       1.3735692      -0.4459872       4.0801100
                          MSDERIVE    10       2.1623441       4.7413648      -0.1085802      15.1106196
                          RBDERIVE    10       0.9780303       1.7967823      -0.5834012       5.3372405
                          BGDERIV      9       0.6586847       1.4834219      -0.6404985       3.9955844
                          RBGDERIV     9       0.8616334       1.9404819      -0.8378438       5.2266714
                          MGDERIVE     9       2.3899018       5.2525414       0.0253903      15.9646944
                          LRKIM       10      -1.2377836       3.6868162      -7.3651782       7.2450258
                          URKIM       10       4.1769156       6.5684522      -1.0931352      18.1750461
                          LPROPFI     10        -1052.43         3302.79       -10452.29       0.1799628
                          UPROPFI     10         1026.25         3203.73       0.8666010        10143.98
                          ƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒ
                                                     SIMULATION OF MEDIATION                   10:48 Thursday, January 4, 2007   9

                                                       The MEANS Procedure

                          Variable     N            Mean         Std Dev         Minimum         Maximum
                          ƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒ
                          LRATIFI     10     -15.5751821      37.6048014    -121.3848542      -0.8921847
                          URATIFI     10      15.2716966      38.8966728      -0.9124430     124.1947302
                          RGSOBEL     10       0.1000000       0.3162278               0       1.0000000
                          LFSOBEL     10       0.1000000       0.3162278               0       1.0000000
                          RGDERIVE    10       0.1000000       0.3162278               0       1.0000000
                          LFDERIVE    10       0.1000000       0.3162278               0       1.0000000
                          RGKIM       10       0.2000000       0.4216370               0       1.0000000
                          LFKIM       10       0.1000000       0.3162278               0       1.0000000
                          RGPROPFI    10               0               0               0               0
                          LFPROPFI    10               0               0               0               0
                          RGRATIFI    10               0               0               0               0
                          LFRATIFI    10               0               0               0               0
                          RGRKIM      10       0.1000000       0.3162278               0       1.0000000
                          LFRKIM      10       0.1000000       0.3162278               0       1.0000000
                          ƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒƒ
