                  Chapter 7 - Memory study data with M Continuous for RMPW Analysis                 16
                                                                         23:35 Wednesday, July 2, 2025

Obs  idpart  replicate  study  id  X  R     Y     M  XM  a0  a1  a2     W1    a0a1  a0a2  a1a2  a0a1a2
 32    8.3       4        8     8  0  9  13.5279  4   0   1   1   0  0.20335    1     0     0      0  
 33    9.0       1        8     9  0  8   8.9650  1   0   0   0   0  1.00000    0     0     0      0  
 34    9.1       2        8     9  0  8  10.2651  1   0   1   0   0  1.00000    0     0     0      0  
 35    9.2       3        8     9  0  8   8.9650  1   0   0   1   0  0.02595    0     0     0      0  
 36    9.3       4        8     9  0  8  10.2651  1   0   1   1   0  0.02595    1     0     0      0  
 37   10.0       1        8    10  1  8  14.7383  7   7   1   1   1  1.00000    1     1     1      1  
 38   10.1       2        8    10  1  8  13.1862  7   7   0   1   1  1.00000    0     0     1      0  
 39   10.2       3        8    10  1  8  14.7383  7   7   1   0   1  0.62743    0     1     0      0  
 40   10.3       4        8    10  1  8  13.1862  7   7   0   0   1  0.62743    0     0     0      0  
 41   11.0       1        8    11  1  5  15.7374  9   9   1   1   1  1.00000    1     1     1      1  
 42   11.1       2        8    11  1  5  14.8004  9   9   0   1   1  1.00000    0     0     1      0  
 43   11.2       3        8    11  1  5  15.7374  9   9   1   0   1  0.15902    0     1     0      0  
 44   11.3       4        8    11  1  5  14.8004  9   9   0   0   1  0.15902    0     0     0      0  
 45   12.0       1        8    12  1  4  14.1382  8   8   1   1   1  1.00000    1     1     1      1  
 46   12.1       2        8    12  1  4  13.0519  8   8   0   1   1  1.00000    0     0     1      0  
 47   12.2       3        8    12  1  4  14.1382  8   8   1   0   1  0.31587    0     1     0      0  
 48   12.3       4        8    12  1  4  13.0519  8   8   0   0   1  0.31587    0     0     0      0  
 49   13.0       1        8    13  1  8  16.2293  9   9   1   1   1  1.00000    1     1     1      1  
 50   13.1       2        8    13  1  8  14.5933  9   9   0   1   1  1.00000    0     0     1      0  
 51   13.2       3        8    13  1  8  16.2293  9   9   1   0   1  0.15902    0     1     0      0  
                  Chapter 7 - Memory study data with M Continuous for RMPW Analysis                 17
                                                                         23:35 Wednesday, July 2, 2025

Obs  idpart  replicate  study  id  X  R     Y     M  XM  a0  a1  a2     W1    a0a1  a0a2  a1a2  a0a1a2

 52   13.3       4        8    13  1  8  14.5933  9   9   0   0   1  0.15902    0     0     0      0  
 53   14.0       1        8    14  1  6  14.8110  8   8   1   1   1  1.00000    1     1     1      1  
 54   14.1       2        8    14  1  6  13.4708  8   8   0   1   1  1.00000    0     0     1      0  
 55   14.2       3        8    14  1  6  14.8110  8   8   1   0   1  0.31587    0     1     0      0  
 56   14.3       4        8    14  1  6  13.4708  8   8   0   0   1  0.31587    0     0     0      0  
 57   15.0       1        8    15  1  4  14.1382  8   8   1   1   1  1.00000    1     1     1      1  
 58   15.1       2        8    15  1  4  13.0519  8   8   0   1   1  1.00000    0     0     1      0  
 59   15.2       3        8    15  1  4  14.1382  8   8   1   0   1  0.31587    0     1     0      0  
 60   15.3       4        8    15  1  4  13.0519  8   8   0   0   1  0.31587    0     0     0      0  
 61   16.0       1        8    16  1  3  10.5862  6   6   1   1   1  1.00000    1     1     1      1  
 62   16.1       2        8    16  1  3   8.6501  6   6   0   1   1  1.00000    0     0     1      0  
 63   16.2       3        8    16  1  3  10.5862  6   6   1   0   1  1.24632    0     1     0      0  
 64   16.3       4        8    16  1  3   8.6501  6   6   0   0   1  1.24632    0     0     0      0  
 65   17.0       1        8    17  1  4  14.1382  8   8   1   1   1  1.00000    1     1     1      1  
 66   17.1       2        8    17  1  4  13.0519  8   8   0   1   1  1.00000    0     0     1      0  
 67   17.2       3        8    17  1  4  14.1382  8   8   1   0   1  0.31587    0     1     0      0  
 68   17.3       4        8    17  1  4  13.0519  8   8   0   0   1  0.31587    0     0     0      0  
 69   18.0       1        8    18  1  6  15.9014  9   9   1   1   1  1.00000    1     1     1      1  
 70   18.1       2        8    18  1  6  14.7314  9   9   0   1   1  1.00000    0     0     1      0  
 71   18.2       3        8    18  1  6  15.9014  9   9   1   0   1  0.15902    0     1     0      0  
 72   18.3       4        8    18  1  6  14.7314  9   9   0   0   1  0.15902    0     0     0      0  
 73   19.0       1        8    19  1  6  15.9014  9   9   1   1   1  1.00000    1     1     1      1  
 74   19.1       2        8    19  1  6  14.7314  9   9   0   1   1  1.00000    0     0     1      0  
 75   19.2       3        8    19  1  6  15.9014  9   9   1   0   1  0.15902    0     1     0      0  
 76   19.3       4        8    19  1  6  14.7314  9   9   0   0   1  0.15902    0     0     0      0  
 77   20.0       1        8    20  1  5  11.9488  6   6   1   1   1  1.00000    1     1     1      1  
 78   20.1       2        8    20  1  5  10.1831  6   6   0   1   1  1.00000    0     0     1      0  
 79   20.2       3        8    20  1  5  11.9488  6   6   1   0   1  1.24632    0     1     0      0  
 80   20.3       4        8    20  1  5  10.1831  6   6   0   0   1  1.24632    0     0     0      0  
 81   21.0       1        8    21  1  6  15.9014  9   9   1   1   1  1.00000    1     1     1      1  
 82   21.1       2        8    21  1  6  14.7314  9   9   0   1   1  1.00000    0     0     1      0  
 83   21.2       3        8    21  1  6  15.9014  9   9   1   0   1  0.15902    0     1     0      0  
 84   21.3       4        8    21  1  6  14.7314  9   9   0   0   1  0.15902    0     0     0      0  
 85   22.0       1        8    22  1  4  15.5735  9   9   1   1   1  1.00000    1     1     1      1  
 86   22.1       2        8    22  1  4  14.8695  9   9   0   1   1  1.00000    0     0     1      0  
 87   22.2       3        8    22  1  4  15.5735  9   9   1   0   1  0.15902    0     1     0      0  
 88   22.3       4        8    22  1  4  14.8695  9   9   0   0   1  0.15902    0     0     0      0  
 89   23.0       1        8    23  1  7  15.1474  8   8   1   1   1  1.00000    1     1     1      1  
 90   23.1       2        8    23  1  7  13.6803  8   8   0   1   1  1.00000    0     0     1      0  
 91   23.2       3        8    23  1  7  15.1474  8   8   1   0   1  0.31587    0     1     0      0  
 92   23.3       4        8    23  1  7  13.6803  8   8   0   0   1  0.31587    0     0     0      0  
 93   24.0       1        8    24  1  5  10.6860  5   5   1   1   1  1.00000    1     1     1      1  
 94   24.1       2        8    24  1  5   8.6440  5   5   0   1   1  1.00000    0     0     1      0  
 95   24.2       3        8    24  1  5  10.6860  5   5   1   0   1  2.47565    0     1     0      0  
 96   24.3       4        8    24  1  5   8.6440  5   5   0   0   1  2.47565    0     0     0      0  
 97   25.0       1        8    25  1  1  15.0816  9   9   1   1   1  1.00000    1     1     1      1  
 98   25.1       2        8    25  1  1  15.0767  9   9   0   1   1  1.00000    0     0     1      0  
 99   25.2       3        8    25  1  1  15.0816  9   9   1   0   1  0.15902    0     1     0      0  
100   25.3       4        8    25  1  1  15.0767  9   9   0   0   1  0.15902    0     0     0      0  
101   26.0       1        8    26  1  3  13.8017  8   8   1   1   1  1.00000    1     1     1      1  
102   26.1       2        8    26  1  3  12.8424  8   8   0   1   1  1.00000    0     0     1      0  
                  Chapter 7 - Memory study data with M Continuous for RMPW Analysis                 18
                                                                         23:35 Wednesday, July 2, 2025

Obs  idpart  replicate  study  id  X  R     Y     M  XM  a0  a1  a2     W1    a0a1  a0a2  a1a2  a0a1a2

103   26.2       3        8    26  1  3  13.8017  8   8   1   0   1  0.31587    0     1     0      0  
104   26.3       4        8    26  1  3  12.8424  8   8   0   0   1  0.31587    0     0     0      0  
105   27.0       1        8    27  1  9  16.3933  9   9   1   1   1  1.00000    1     1     1      1  
106   27.1       2        8    27  1  9  14.5242  9   9   0   1   1  1.00000    0     0     1      0  
107   27.2       3        8    27  1  9  16.3933  9   9   1   0   1  0.15902    0     1     0      0  
108   27.3       4        8    27  1  9  14.5242  9   9   0   0   1  0.15902    0     0     0      0  
109   28.0       1        8    28  0  8   8.9650  1   0   0   0   0  1.00000    0     0     0      0  
110   28.1       2        8    28  0  8  10.2651  1   0   1   0   0  1.00000    0     0     0      0  
111   28.2       3        8    28  0  8   8.9650  1   0   0   1   0  0.02595    0     0     0      0  
112   28.3       4        8    28  0  8  10.2651  1   0   1   1   0  0.02595    1     0     0      0  
113   29.0       1        8    29  0  9  12.8241  5   0   0   0   0  1.00000    0     0     0      0  
114   29.1       2        8    29  0  9  14.1009  5   0   1   0   0  1.00000    0     0     0      0  
115   29.2       3        8    29  0  9  12.8241  5   0   0   1   0  0.40393    0     0     0      0  
116   29.3       4        8    29  0  9  14.1009  5   0   1   1   0  0.40393    1     0     0      0  
117   30.0       1        8    30  0  9  11.1241  1   0   0   0   0  1.00000    0     0     0      0  
118   30.1       2        8    30  0  9  11.8086  1   0   1   0   0  1.00000    0     0     0      0  
119   30.2       3        8    30  0  9  11.1241  1   0   0   1   0  0.02595    0     0     0      0  
120   30.3       4        8    30  0  9  11.8086  1   0   1   1   0  0.02595    1     0     0      0  
121   31.0       1        8    31  0  8  12.4827  6   0   0   0   0  1.00000    0     0     0      0  
122   31.1       2        8    31  0  8  13.9927  6   0   1   0   0  1.00000    0     0     0      0  
123   31.2       3        8    31  0  8  12.4827  6   0   0   1   0  0.80237    0     0     0      0  
124   31.3       4        8    31  0  8  13.9927  6   0   1   1   0  0.80237    1     0     0      0  
125   32.0       1        8    32  0  9  11.5491  2   0   0   0   0  1.00000    0     0     0      0  
126   32.1       2        8    32  0  9  12.3817  2   0   1   0   0  1.00000    0     0     0      0  
127   32.2       3        8    32  0  9  11.5491  2   0   0   1   0  0.05154    0     0     0      0  
128   32.3       4        8    32  0  9  12.3817  2   0   1   1   0  0.05154    1     0     0      0  
129   33.0       1        8    33  0  9  11.1241  1   0   0   0   0  1.00000    0     0     0      0  
130   33.1       2        8    33  0  9  11.8086  1   0   1   0   0  1.00000    0     0     0      0  
131   33.2       3        8    33  0  9  11.1241  1   0   0   1   0  0.02595    0     0     0      0  
132   33.3       4        8    33  0  9  11.8086  1   0   1   1   0  0.02595    1     0     0      0  
133   34.0       1        8    34  0  9  11.9741  3   0   0   0   0  1.00000    0     0     0      0  
134   34.1       2        8    34  0  9  12.9548  3   0   1   0   0  1.00000    0     0     0      0  
135   34.2       3        8    34  0  9  11.9741  3   0   0   1   0  0.10237    0     0     0      0  
136   34.3       4        8    34  0  9  12.9548  3   0   1   1   0  0.10237    1     0     0      0  
137   35.0       1        8    35  0  8  13.1862  7   0   0   0   0  1.00000    0     0     0      0  
138   35.1       2        8    35  0  8  14.7383  7   0   1   0   0  1.00000    0     0     0      0  
139   35.2       3        8    35  0  8  13.1862  7   0   0   1   0  1.59380    0     0     0      0  
140   35.3       4        8    35  0  8  14.7383  7   0   1   1   0  1.59380    1     0     0      0  
141   36.0       1        8    36  0  6  14.7314  9   0   0   0   0  1.00000    0     0     0      0  
142   36.1       2        8    36  0  6  15.9014  9   0   1   0   0  1.00000    0     0     0      0  
143   36.2       3        8    36  0  6  14.7314  9   0   0   1   0  6.28862    0     0     0      0  
144   36.3       4        8    36  0  6  15.9014  9   0   1   1   0  6.28862    1     0     0      0  
145   37.0       1        8    37  0  7  12.6982  7   0   0   0   0  1.00000    0     0     0      0  
146   37.1       2        8    37  0  7  14.2294  7   0   1   0   0  1.00000    0     0     0      0  
147   37.2       3        8    37  0  7  12.6982  7   0   0   1   0  1.59380    0     0     0      0  
148   37.3       4        8    37  0  7  14.2294  7   0   1   1   0  1.59380    1     0     0      0  
149   38.0       1        8    38  0  8  11.7791  5   0   0   0   0  1.00000    0     0     0      0  
150   38.1       2        8    38  0  8  13.2472  5   0   1   0   0  1.00000    0     0     0      0  
151   38.2       3        8    38  0  8  11.7791  5   0   0   1   0  0.40393    0     0     0      0  
152   38.3       4        8    38  0  8  13.2472  5   0   1   1   0  0.40393    1     0     0      0  
153   39.0       1        8    39  0  8  10.3720  3   0   0   0   0  1.00000    0     0     0      0  
                  Chapter 7 - Memory study data with M Continuous for RMPW Analysis                 19
                                                                         23:35 Wednesday, July 2, 2025

Obs  idpart  replicate  study  id  X  R     Y     M  XM  a0  a1  a2     W1    a0a1  a0a2  a1a2  a0a1a2

154   39.1       2        8    39  0  8  11.7561  3   0   1   0   0  1.00000    0     0     0      0  
155   39.2       3        8    39  0  8  10.3720  3   0   0   1   0  0.10237    0     0     0      0  
156   39.3       4        8    39  0  8  11.7561  3   0   1   1   0  0.10237    1     0     0      0  
157   40.0       1        8    40  0  7  14.6623  9   0   0   0   0  1.00000    0     0     0      0  
158   40.1       2        8    40  0  7  16.0654  9   0   1   0   0  1.00000    0     0     0      0  
159   40.2       3        8    40  0  7  14.6623  9   0   0   1   0  6.28862    0     0     0      0  
160   40.3       4        8    40  0  7  16.0654  9   0   1   1   0  6.28862    1     0     0      0  
161   41.0       1        8    41  0  6  10.9496  6   0   0   0   0  1.00000    0     0     0      0  
162   41.1       2        8    41  0  6  12.6301  6   0   1   0   0  1.00000    0     0     0      0  
163   41.2       3        8    41  0  6  10.9496  6   0   0   1   0  0.80237    0     0     0      0  
164   41.3       4        8    41  0  6  12.6301  6   0   1   1   0  0.80237    1     0     0      0  
165   42.0       1        8    42  0  9  11.5491  2   0   0   0   0  1.00000    0     0     0      0  
166   42.1       2        8    42  0  9  12.3817  2   0   1   0   0  1.00000    0     0     0      0  
167   42.2       3        8    42  0  9  11.5491  2   0   0   1   0  0.05154    0     0     0      0  
168   42.3       4        8    42  0  9  12.3817  2   0   1   1   0  0.05154    1     0     0      0  
169   43.0       1        8    43  0  9  14.0992  8   0   0   0   0  1.00000    0     0     0      0  
170   43.1       2        8    43  0  9  15.8202  8   0   1   0   0  1.00000    0     0     0      0  
171   43.2       3        8    43  0  9  14.0992  8   0   0   1   0  3.16588    0     0     0      0  
172   43.3       4        8    43  0  9  15.8202  8   0   1   1   0  3.16588    1     0     0      0  
173   44.0       1        8    44  0  3  14.9385  9   0   0   0   0  1.00000    0     0     0      0  
174   44.1       2        8    44  0  3  15.4095  9   0   1   0   0  1.00000    0     0     0      0  
175   44.2       3        8    44  0  3  14.9385  9   0   0   1   0  6.28862    0     0     0      0  
176   44.3       4        8    44  0  3  15.4095  9   0   1   1   0  6.28862    1     0     0      0  
                  Chapter 7 - Memory study data with M Continuous for RMPW Analysis                 20
                                                                         23:35 Wednesday, July 2, 2025

                                          The REG Procedure
                                            Model: MODEL1
                                        Dependent Variable: Y 

                               Number of Observations Read         176
                               Number of Observations Used         176


                                         Analysis of Variance
 
                                                Sum of           Mean
            Source                   DF        Squares         Square    F Value    Pr > F

            Model                     7      138.84516       19.83502       6.24    <.0001
            Error                   168      533.63266        3.17638                     
            Corrected Total         175      672.47783                                    


                         Root MSE              1.78224    R-Square     0.2065
                         Dependent Mean       13.28015    Adj R-Sq     0.1734
                         Coeff Var            13.42034                       


                                         Parameter Estimates
 
                                      Parameter       Standard
                 Variable     DF       Estimate          Error    t Value    Pr > |t|

                 Intercept     1       12.08333        0.36380      33.21      <.0001
                 a0            1        1.21016        0.51449       2.35      0.0198
                 a1            1    2.27414E-13        0.51449       0.00      1.0000
                 a2            1        1.29715        0.53960       2.40      0.0173
                 a0a1          1    -3.0317E-13        0.72760      -0.00      1.0000
                 a0a2          1        0.00935        0.76311       0.01      0.9902
                 a1a2          1    -2.1609E-13        0.76311      -0.00      1.0000
                 a0a1a2        1    2.80428E-13        1.07920       0.00      1.0000
                  Chapter 7 - Memory study data with M Continuous for RMPW Analysis                 21
                                                                         23:35 Wednesday, July 2, 2025

                                         The GENMOD Procedure

                                          Model Information

                                  Data Set                   WORK.A
                                  Distribution               Normal
                                  Link Function            Identity
                                  Dependent Variable              Y
                                  Scale Weight Variable          W1


                               Number of Observations Read         176
                               Number of Observations Used         176
                               Sum of Weights                 169.3909


                                       Class Level Information
 
               Class      Levels    Values

               id             44    1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
                                    21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37
                                    38 39 40 41 42 43 44                              


                                        Parameter Information
 
                                      Parameter       Effect

                                      Prm1            Intercept
                                      Prm2            a0       
                                      Prm3            a1       
                                      Prm4            a2       
                                      Prm5            a0a1     
                                      Prm6            a0a2     
                                      Prm7            a1a2     
                                      Prm8            a0a1a2   


             Algorithm converged.                                                       


                                        GEE Model Information

                            Correlation Structure              Independent
                            Subject Effect                  id (44 levels)
                            Number of Clusters                          44
                            Correlation Matrix Dimension                 4
                            Maximum Cluster Size                         4
                            Minimum Cluster Size                         4
                  Chapter 7 - Memory study data with M Continuous for RMPW Analysis                 22
                                                                         23:35 Wednesday, July 2, 2025

                                         The GENMOD Procedure

             Algorithm converged.                                                       


                                          GEE Fit Criteria

                                        QIC          189.6104
                                        QICu         184.0000


                                 Analysis Of GEE Parameter Estimates
                                  Empirical Standard Error Estimates
 
                                       Standard   95% Confidence
                    Parameter Estimate    Error       Limits            Z Pr > |Z|

                    Intercept  12.0833   0.3358  11.4251  12.7416   35.98   <.0001
                    a0          1.2102   0.0720   1.0690   1.3513   16.81   <.0001
                    a1          2.0015   0.3151   1.3840   2.6191    6.35   <.0001
                    a2         -0.8899   0.9083  -2.6701   0.8902   -0.98   0.3272
                    a0a1        0.0235   0.1358  -0.2426   0.2896    0.17   0.8624
                    a0a2        0.3825   0.1631   0.0627   0.7022    2.34   0.0191
                    a1a2        0.1856   0.6184  -1.0264   1.3976    0.30   0.7641
                    a0a1a2     -0.3966   0.1737  -0.7372  -0.0561   -2.28   0.0224
